pred2ndNext	pred1rstNext	DrawId	Feat-Parity-Over10	Feat-Parity-Over10-CanIncreaseOf	Feat-UniverseLength-Over10-CanDecreaseOf
-10	-10	20191206	4	1	0
-10	4	20191205	5	0	-1
4	5	20191204	4	1	0
5	4	20191203	4	1	0
4	4	20191202	4	0	-1
4	4	20191130	4	1	0
4	4	20191129	4	0	-1
4	4	20191128	5	0	-1
4	5	20191127	4	1	0
5	4	20191126	4	1	0
4	4	20191125	4	1	0
4	4	20191123	3	1	0
4	3	20191122	4	0	-1
3	4	20191121	5	0	-1
4	5	20191120	4	1	0
5	4	20191119	5	0	-1
4	5	20191118	5	0	-1
5	5	20191116	5	0	-1
5	5	20191115	6	0	-1
5	6	20191114	6	1	0
6	6	20191113	6	1	0
6	6	20191112	6	1	0
6	6	20191111	6	0	-1
6	6	20191109	6	0	-1
6	6	20191108	7	0	-1
6	7	20191107	6	1	0
7	6	20191106	5	1	0
6	5	20191105	5	0	-1
5	5	20191104	5	0	-1
5	5	20191102	5	1	0
5	5	20191101	5	1	0
5	5	20191031	6	0	-1
5	6	20191030	5	1	0
6	5	20191029	5	0	-1
5	5	20191028	5	0	-1
5	5	20191026	5	1	0
5	5	20191025	6	0	-1
5	6	20191024	6	0	-1
6	6	20191023	6	0	-1
6	6	20191022	6	1	0
6	6	20191021	6	1	0
6	6	20191019	6	0	-1
6	6	20191018	6	1	0
6	6	20191017	6	0	-1
6	6	20191016	5	1	0
6	5	20191015	6	0	-1
5	6	20191014	5	1	0
6	5	20191012	4	1	0
5	4	20191011	4	0	-1
4	4	20191010	5	0	-1
4	5	20191009	6	0	-1
5	6	20191008	6	0	-1
6	6	20191007	7	0	-1
6	7	20191005	6	1	0
7	6	20191004	7	0	-1
6	7	20191003	6	1	0
7	6	20191002	7	0	-1
6	7	20191001	8	0	-1
7	8	20190930	8	0	-1
8	8	20190928	7	1	0
8	7	20190927	6	1	0
7	6	20190926	5	1	0
6	5	20190925	4	1	0
5	4	20190924	4	1	0
4	4	20190923	4	0	-1
4	4	20190921	4	1	0
4	4	20190920	4	0	-1
4	4	20190919	4	0	-1
4	4	20190918	4	0	-1
4	4	20190917	4	1	0
4	4	20190916	5	0	-1
4	5	20190914	6	0	-1
5	6	20190913	6	1	0
6	6	20190912	7	0	-1
6	7	20190911	6	1	0
7	6	20190910	6	1	0
6	6	20190909	6	0	-1
6	6	20190907	5	1	0
6	5	20190906	4	1	0
5	4	20190905	5	0	-1
4	5	20190904	4	1	0
5	4	20190903	3	1	0
4	3	20190902	4	0	-1
3	4	20190831	4	0	-1
4	4	20190830	4	1	0
4	4	20190829	5	0	-1
4	5	20190828	4	1	0
5	4	20190827	5	0	-1
4	5	20190826	5	1	0
5	5	20190824	4	1	0
5	4	20190823	5	0	-1
4	5	20190822	6	0	-1
5	6	20190821	5	1	0
6	5	20190820	5	0	-1
5	5	20190819	6	0	-1
5	6	20190817	6	0	-1
6	6	20190816	6	1	0
6	6	20190815	6	0	-1
6	6	20190814	7	0	-1
6	7	20190813	8	0	-1
7	8	20190812	8	0	-1
8	8	20190810	7	1	0
8	7	20190809	8	0	-1
7	8	20190808	7	1	0
8	7	20190807	7	0	-1
7	7	20190806	7	0	-1
7	7	20190805	7	1	0
7	7	20190803	6	1	0
7	6	20190802	5	1	0
6	5	20190801	4	1	0
5	4	20190731	4	0	-1
4	4	20190730	5	0	-1
4	5	20190729	5	0	-1
5	5	20190727	5	1	0
5	5	20190726	5	0	-1
5	5	20190725	4	1	0
5	4	20190724	5	0	-1
4	5	20190723	6	0	-1
5	6	20190722	6	1	0
6	6	20190720	7	0	-1
6	7	20190719	6	1	0
7	6	20190718	6	0	-1
6	6	20190717	6	0	-1
6	6	20190716	7	0	-1
6	7	20190715	6	1	0
7	6	20190713	7	0	-1
6	7	20190712	6	1	0
7	6	20190711	5	1	0
6	5	20190710	5	1	0
5	5	20190709	4	1	0
5	4	20190708	5	0	-1
