pred2ndNext	pred1rstNext	DrawId	Feat-Parity-Over10	Feat-Parity-Over10-CanIncreaseOf	Feat-UniverseLength-Over10-CanDecreaseOf
-10	-10	20191206	6	1	0
-10	6	20191205	5	1	0
6	5	20191204	5	0	-1
5	5	20191203	5	1	0
5	5	20191202	5	0	-1
5	5	20191130	5	0	-1
5	5	20191129	4	1	0
5	4	20191128	5	0	-1
4	5	20191127	6	0	-1
5	6	20191126	5	1	0
6	5	20191125	5	1	0
5	5	20191123	6	0	-1
5	6	20191122	6	0	-1
6	6	20191121	6	1	0
6	6	20191120	6	0	-1
6	6	20191119	5	1	0
6	5	20191118	6	0	-1
5	6	20191116	6	0	-1
6	6	20191115	6	0	-1
6	6	20191114	6	1	0
6	6	20191113	6	1	0
6	6	20191112	5	1	0
6	5	20191111	4	1	0
5	4	20191109	4	1	0
4	4	20191108	4	0	-1
4	4	20191107	4	1	0
4	4	20191106	3	1	0
4	3	20191105	2	1	0
3	2	20191104	2	0	-1
2	2	20191102	2	1	0
2	2	20191101	2	1	0
2	2	20191031	3	0	-1
2	3	20191030	3	1	0
3	3	20191029	4	0	-1
3	4	20191028	4	0	-1
4	4	20191026	5	0	-1
4	5	20191025	6	0	-1
5	6	20191024	6	1	0
6	6	20191023	5	1	0
6	5	20191022	5	1	0
5	5	20191021	6	0	-1
5	6	20191019	6	0	-1
6	6	20191018	7	0	-1
6	7	20191017	6	1	0
7	6	20191016	5	1	0
6	5	20191015	5	0	-1
5	5	20191014	4	1	0
5	4	20191012	5	0	-1
4	5	20191011	6	0	-1
5	6	20191010	6	1	0
6	6	20191009	6	0	-1
6	6	20191008	5	1	0
6	5	20191007	5	0	-1
5	5	20191005	6	0	-1
5	6	20191004	7	0	-1
6	7	20191003	6	1	0
7	6	20191002	6	1	0
6	6	20191001	5	1	0
6	5	20190930	4	1	0
5	4	20190928	4	1	0
4	4	20190927	4	0	-1
4	4	20190926	4	1	0
4	4	20190925	3	1	0
4	3	20190924	2	1	0
3	2	20190923	2	0	-1
2	2	20190921	3	0	-1
2	3	20190920	3	1	0
3	3	20190919	3	1	0
3	3	20190918	3	1	0
3	3	20190917	4	0	-1
3	4	20190916	3	1	0
4	3	20190914	4	0	-1
3	4	20190913	5	0	-1
4	5	20190912	5	1	0
5	5	20190911	4	1	0
5	4	20190910	4	0	-1
4	4	20190909	5	0	-1
